"Date","TransactionID","ReceivedQuantity","ReceivedCurrency","SentQuantity","SentCurrency","FeeAmount","FeeCurrency","Tag"
"9/22/2017 11:28:52 PM","b93cc466-5edd-4633-a51f-bc41f58a13ad","1054.448","USDT","4","ETH",,,"Bittrex"
"9/22/2017 11:40:31 PM","b56c81b7-34e9-4d14-97b2-792f9c52537b","108.96","OMG","946.97136","USDT",,,"Bittrex"
"9/22/2017 11:42:18 PM","34214f28-d752-4a7d-9026-e9e0edc84846","1044.29073004","USDT","3.99","ETH",,,"Bittrex"
"9/22/2017 11:43:10 PM","974df3db-a0af-4c9e-9dd7-f2bc71a6625f","12","OMG","103.68","USDT",,,"Bittrex"
"9/23/2017 1:39:34 AM","1bd88c3a-0209-46ea-b40a-47b10939513e","21.4191","OMG","179.706249","USDT",,,"Bittrex"
"9/23/2017 2:02:17 AM","bd7c57be-0ad6-4c1d-bd19-3189e8b59cc4","49.7378","OMG","422.7713","USDT",,,"Bittrex"
"9/23/2017 11:34:27 AM","e60650aa-4225-4067-8c8f-1461990b0802","12.7655","OMG","116.804325","USDT",,,"Bittrex"
"9/23/2017 11:34:40 AM","ec6d5edd-826a-44fd-9bc2-bbe3bc09179c","32.8688","OMG","300.74952","USDT",,,"Bittrex"
"9/24/2017 6:13:29 AM","0f84232b-7efc-45ec-9104-6b65000663cd","224.684883","USDT","25.7371","OMG",,,"Bittrex"
"9/24/2017 8:23:13 AM","176881b5-1951-42f4-b0f9-848b68fb512a","2.40000001","OMG","20.83200011","USDT",,,"Bittrex"
"9/24/2017 9:10:29 AM","0eae889c-0c41-463a-9dcd-c9b9bea943cb","246.627444","USDT","28.4133","OMG",,,"Bittrex"
"9/25/2017 5:39:12 AM","7686b30e-60b6-44ef-80c4-db1dccb5d71a","27.19584","USDT","2.982","OMG",,,"Bittrex"
"9/25/2017 6:01:40 AM","e1f9dfce-e2fd-45bb-ac75-d2cc1e40c034","143.0771495","USDT","15.8009","OMG",,,"Bittrex"
"9/25/2017 6:01:45 AM","cf3779d6-c7b1-4876-8137-dcbfd2e8f8d8","188.2108915","USDT","20.7853","OMG",,,"Bittrex"
"9/25/2017 7:09:00 AM","2c78f3f9-fa98-4bce-b431-df5ed960b39a","239.20960026","USDT","26.432","OMG",,,"Bittrex"
"9/25/2017 8:16:50 AM","5dde998b-2f12-48ec-a615-8d188c2ce9f3","908.91","USDT","100","OMG",,,"Bittrex"
"9/25/2017 8:16:59 AM","755e2043-00ee-474b-a89d-098b2942249a","89.5821696","USDT","9.856","OMG",,,"Bittrex"
"9/25/2017 8:17:04 AM","061b6c6b-29e1-44b6-bfe4-3c5e7705aa31","89.5821696","USDT","9.856","OMG",,,"Bittrex"
"9/25/2017 8:19:38 AM","55623ccb-ccf4-4801-b12b-7aab1637690c","20.1189","OMG","182.277234","USDT",,,"Bittrex"
"9/25/2017 9:48:59 AM","62409680-7933-4278-8294-21631e10b15e","113.441181","USDT","12.5627","OMG",,,"Bittrex"
"9/25/2017 9:49:05 AM","1d3720c9-07b3-4ee7-b282-0d21f3acf011","70.838544","USDT","7.8448","OMG",,,"Bittrex"
"9/25/2017 10:27:25 AM","e5abbd96-e5a6-4f90-a26e-f9f090b8ec25","20.04","OMG","180.83360372","USDT",,,"Bittrex"
"9/25/2017 10:40:58 AM","0cec6cde-cd06-4f6b-aec9-9a9ba8903616","114.04136","USDT","12.3958","OMG",,,"Bittrex"
"9/25/2017 10:41:05 AM","24cb7704-d822-4081-9f48-8b0d09ce4e64","0.00000174","USDT","1.9e-7","OMG",,,"Bittrex"
"9/25/2017 11:05:13 AM","2d01bc19-bb49-40be-b529-7308db9bb24b","5.51491642","OMG","52.060811","USDT",,,"Bittrex"
"9/25/2017 11:06:09 AM","1fefaaec-3f7f-41cd-bd6c-c5966aaa7380","126.2747236","USDT","13.1591","OMG",,,"Bittrex"
"9/25/2017 12:06:17 PM","d3236dcc-2545-4aa9-9222-b9bb78cf9f0d","20","OMG","185","USDT",,,"Bittrex"
"9/25/2017 12:06:23 PM","f5042ba1-afbd-412a-9054-51ecc2c751d8","2.876","OMG","26.603","USDT",,,"Bittrex"
"9/25/2017 12:13:35 PM","d034fc04-a1a7-4203-91f3-1ad0234a23a5","62.51403495","USDT","6.6505","OMG",,,"Bittrex"
"9/25/2017 12:34:37 PM","9c5540fa-8bab-4a7f-85a5-84bacaab5a25","5.5","OMG","51.502","USDT",,,"Bittrex"
"9/25/2017 12:34:45 PM","12d959c8-9bed-4ce6-9304-ab429c8a7cc4","9.8321","OMG","92.0677844","USDT",,,"Bittrex"
"9/25/2017 1:11:08 PM","f23a0792-74cc-4449-ae78-fcd79b457ccc","21.529976","USDT","2.2334","OMG",,,"Bittrex"
"9/25/2017 1:18:59 PM","3bb1a6bf-1adf-49d9-9d4b-b2067ff98fd6","106.65039","USDT","11.121","OMG",,,"Bittrex"
"9/25/2017 1:24:28 PM","a06b1675-c6a2-494b-84eb-a472b07869b8","0.4328415","USDT","0.0455","OMG",,,"Bittrex"
"9/25/2017 2:25:11 PM","602c2a0f-aa00-4076-8773-b66edc3cf3cd","0.0481","OMG","0.468013","USDT",,,"Bittrex"
"9/25/2017 2:29:47 PM","2c9dc652-f145-4e7b-9b10-825a388a3619","179.30892384","USDT","18.2058","OMG",,,"Bittrex"
"9/25/2017 2:33:40 PM","c3988236-a9ea-4aa7-8cae-c7235aeede98","20.04","OMG","195.5904","USDT",,,"Bittrex"
"9/25/2017 2:41:35 PM","3f1ce424-ec36-4315-a881-733f3f9779b2","199.1999998","USDT","20","OMG",,,"Bittrex"
"9/25/2017 2:42:07 PM","8ab6d726-c219-425e-be23-ff7d4654a030","20.04","OMG","199.5984","USDT",,,"Bittrex"
"9/25/2017 3:23:53 PM","101b43cb-ec3e-4ba3-899e-12c5a88161bd","20","OMG","199.06","USDT",,,"Bittrex"
"9/25/2017 3:24:17 PM","f61542bd-46a7-4851-8474-2d3b0886542f","20.04","OMG","199.398","USDT",,,"Bittrex"
"9/25/2017 3:24:22 PM","c5d43f6f-5eee-49cb-a12b-8000e073bac8","20.04","OMG","199.45812","USDT",,,"Bittrex"
"9/25/2017 3:36:58 PM","43af5fc0-12ac-4c28-b33b-3607d6a15004","5.5593","OMG","55.593","USDT",,,"Bittrex"
"9/25/2017 4:09:54 PM","74704433-2211-410d-9884-b1957f608ebb","208.54","USDT","20","OMG",,,"Bittrex"
"9/25/2017 4:17:21 PM","d757a978-9a2d-4924-ab52-ed0e506c61cb","6","OMG","61.494","USDT",,,"Bittrex"
"9/25/2017 4:18:09 PM","bb783649-23cd-4f1e-b70e-03c3b2e86f4b","20","OMG","204.98","USDT",,,"Bittrex"
"9/25/2017 4:21:42 PM","e583fabc-675a-4388-a42e-df35a76ca4a5","20.04","OMG","204.0072","USDT",,,"Bittrex"
"9/25/2017 4:30:53 PM","65da22bb-61c2-4d2e-945f-fef69536732b","3.7683107","OMG","38.24835361","USDT",,,"Bittrex"
"9/25/2017 4:39:47 PM","cf38c914-edf5-4365-b1e5-e5792752c134","20","OMG","202.02","USDT",,,"Bittrex"
"9/25/2017 4:39:55 PM","50f70cd5-ea6c-4f37-9cfe-bcfdbe63e439","20","OMG","202.02","USDT",,,"Bittrex"
"9/25/2017 5:00:43 PM","be7287f6-a5cd-44da-869e-a5b29b021c96","20.04","OMG","199.38929342","USDT",,,"Bittrex"
"9/25/2017 5:07:19 PM","7a828dde-0c29-4092-b1a4-c92a98ea6093","200.8","USDT","20","OMG",,,"Bittrex"
"9/25/2017 5:24:17 PM","62a3a834-db54-470c-9219-ecc8a4607cf6","1.15304","USDT","0.116","OMG",,,"Bittrex"
"9/25/2017 5:30:48 PM","01de83ed-a1d6-4080-a5a6-54ff92af9166","12.0448","OMG","118.882176","USDT",,,"Bittrex"
"9/25/2017 5:31:08 PM","3c5a955c-9cda-41fe-b4d3-5172647a06a1","9.8722","OMG","97.73478","USDT",,,"Bittrex"
"9/25/2017 5:34:56 PM","10375f4d-35ac-4423-8904-2c888ea219c6","20.04","OMG","200.8008","USDT",,,"Bittrex"
"9/25/2017 6:09:35 PM","891a9d8e-3557-4f8e-977b-a5fb7e364c20","0.25","OMG","2.48","USDT",,,"Bittrex"
"9/25/2017 6:58:20 PM","e612154e-5de3-4feb-a4bf-c4e4d36d3af8","201.4","USDT","20","OMG",,,"Bittrex"
"9/25/2017 6:59:56 PM","608f6fbe-b129-408b-af67-014ac0eafed5","32.814714","USDT","3.2619","OMG",,,"Bittrex"
"9/25/2017 7:29:28 PM","25fbc2ff-26b6-42e6-8dff-74583c54d507","49.8517419","USDT","4.9461","OMG",,,"Bittrex"
"9/25/2017 7:50:05 PM","d9eda863-c8fd-4bd7-91a3-65b34d2b2710","68.33099193","USDT","6.7856","OMG",,,"Bittrex"
"9/25/2017 7:50:16 PM","cec373ad-6649-4c98-b1d5-9469ef85d93e","36.58330296","USDT","3.6329","OMG",,,"Bittrex"
"9/25/2017 7:51:43 PM","f2be0a9d-650d-4494-b201-655b49941765","201.3999998","USDT","20","OMG",,,"Bittrex"
"9/25/2017 7:51:59 PM","df8cb01d-74d9-49f6-808e-b5336af869e2","156.65596884","USDT","15.5567","OMG",,,"Bittrex"
"9/25/2017 7:52:34 PM","10692da8-d45b-4743-9f0f-bee10d2145b0","201.3999998","USDT","20","OMG",,,"Bittrex"
"9/25/2017 8:54:01 PM","04f3142f-1629-46f7-b214-73a73a313135","20.284672","USDT","2.0224","OMG",,,"Bittrex"
"9/25/2017 8:54:06 PM","a492d905-c5df-4044-9f52-fd51f9bd2ac5","200.6","USDT","20","OMG",,,"Bittrex"
"9/26/2017 5:17:27 AM","e5212a03-b0c8-4917-9c7e-3b51bb720e39","14.74930952","USDT","1.4944","OMG",,,"Bittrex"
"9/26/2017 5:17:32 AM","2f9e5139-83a6-4f63-8c8a-f3764bd18952","98.20069051","USDT","10.00006996","OMG",,,"Bittrex"
"9/26/2017 5:17:33 AM","df2ef467-dc5a-472a-87cc-14683a0e65f0","195.214828","USDT","20","OMG",,,"Bittrex"
"9/26/2017 5:21:35 AM","636fabb5-f2f2-4fb3-bd50-847315c3b35a","20","OMG","194.616","USDT",,,"Bittrex"
"9/26/2017 5:21:40 AM","8676fb61-651c-479a-835f-0dfb599f1277","3.1565","OMG","30.7152702","USDT",,,"Bittrex"
"9/26/2017 5:21:47 AM","3c12178c-d589-4c6e-8be3-46403ef53f58","1.57189895","OMG","15.29614868","USDT",,,"Bittrex"
"9/26/2017 5:22:47 AM","a80e20ce-382e-4960-8545-6c086a601b9f","2.3587","OMG","23.1129013","USDT",,,"Bittrex"
"9/26/2017 5:22:52 AM","74271cef-f405-46a6-b411-2d24ab18f30f","20","OMG","194.62","USDT",,,"Bittrex"
"9/26/2017 5:22:57 AM","cc393fa5-9c8d-47c9-a2d3-250b72387e36","20","OMG","194.62","USDT",,,"Bittrex"
"9/26/2017 5:38:57 AM","76dfe314-f03a-4f78-9df4-931848239b65","2.1515","OMG","20.74046","USDT",,,"Bittrex"
"9/26/2017 5:39:05 AM","40f9538d-68a2-486b-bfc9-a7ef9ce9de00","0.3484","OMG","3.358576","USDT",,,"Bittrex"
"9/26/2017 5:39:25 AM","54946f27-c442-4749-aba9-c4014665e585","20","OMG","192.6","USDT",,,"Bittrex"
"9/26/2017 5:39:30 AM","2131c08e-880d-4413-a361-bf651d3f6559","20","OMG","192.6","USDT",,,"Bittrex"
"9/26/2017 5:39:37 AM","c76a08bc-f81b-4338-a414-6ef68b2835c0","2","OMG","19.26","USDT",,,"Bittrex"
"9/26/2017 5:40:07 AM","4e43d99c-7bc2-4b1e-84b8-ab47e956778b","20","OMG","192.6","USDT",,,"Bittrex"
"9/26/2017 5:40:36 AM","6a970382-d448-4591-ad36-a7dd1917d5c6","5.2293","OMG","50.6405412","USDT",,,"Bittrex"
"9/26/2017 5:40:50 AM","dc0a13e1-d78f-44f5-a5fd-0e17a96e0580","5.00007987","OMG","48.42577344","USDT",,,"Bittrex"
"9/26/2017 5:40:54 AM","6b751ed5-a606-49f9-8d64-dc252b30ac1c","16.38269046","OMG","159.56740508","USDT",,,"Bittrex"
"9/26/2017 5:42:01 AM","d07c9dca-c686-4801-9e16-0802943ec453","13.0815","OMG","126.236475","USDT",,,"Bittrex"
"9/26/2017 5:42:14 AM","2e2f6792-18c2-47c9-8490-b77bd5877202","0.0349","OMG","0.336785","USDT",,,"Bittrex"
"9/26/2017 5:53:28 AM","0d80b457-633b-49a9-8713-006197405c58","100.66364","USDT","10.2718","OMG",,,"Bittrex"
"9/26/2017 6:00:15 AM","17800e73-ebac-4141-bd41-f74c05839351","2.1706","OMG","20.97906606","USDT",,,"Bittrex"
"9/26/2017 6:01:46 AM","90cdfede-29f4-444b-9617-5e9539c41c01","3.934","OMG","38.04178","USDT",,,"Bittrex"
"9/26/2017 6:11:05 AM","9abdbf7a-4bf1-45ba-a2b0-591179eca18d","4.2302","OMG","41.03294","USDT",,,"Bittrex"
"9/26/2017 6:11:09 AM","961e3a9a-37bc-4479-a501-4a6608aa1db6","0.0111","OMG","0.10767","USDT",,,"Bittrex"
"9/26/2017 8:01:23 AM","a5b3b5b8-222d-4e53-889a-c00db49b1193","14.23860673","USDT","1.41677679","OMG",,,"Bittrex"
"9/26/2017 8:01:39 AM","36eb39ad-9c03-4e15-8cdd-f89422480a27","1.26429","USDT","0.1258","OMG",,,"Bittrex"
"9/26/2017 8:01:44 AM","6230c993-6f0f-4626-8ba8-47c6b2d94611","52.42387932","USDT","5.2163064","OMG",,,"Bittrex"
"9/26/2017 9:04:59 AM","598618e3-bfdc-45bd-a8ad-05a42bacb0b4","39.39179967","USDT","3.9266148","OMG",,,"Bittrex"
"9/26/2017 9:07:18 AM","4b037397-dc89-4335-8f70-4ad6afdff8d0","40.3089366","USDT","4.0317","OMG",,,"Bittrex"
